as_at,bank,deposits,principal,ledger_with_interest,maturity_value,rate_pct,payout,maturity,source
2026-09-14,HDFC Bank,18,35676613,35676613,35676613,7.16,Monthly interest to operating account (≈₹2.1 L/month),"Mostly Sep 2028; the ₹11 L placed 18 Apr 2026 runs separately; dates to confirm from advices",HDFC account statement to 14-Sep-2026 (interest credits + FD closures); bank summary 07-Sep-2026 showed only 16 FDs at ₹3.20 Cr
2026-09-07,ICICI Bank,11,52712733,53766799,62391520,,Interest capitalised; paid at maturity,"₹14.13 L within weeks (maturity value 14.20 L); ₹27 L within ~a year; ₹31 L, ₹10 L and 3 × ₹1 Cr at ~2.7 years (≈2029); ₹25 L, ₹20 L, 2 × ₹50 L at ~2 years (≈2028); dates to confirm from advices",ICICI Deposit Account Summary widget 07-Sep-2026 (no dates/rates in export)
2026-08-31,Sobha Ltd (developer),,7496670,7496670,,8.0,≈₹50K/month net of 10% TDS; unpaid FMS invoices set off and re-credited on payment,Retained since Jul 2024 as FMS security; to be converted to a defined deposit,Sobha corpus fund statement Aug 2026 (Sept opening ₹74.97 L)
